,Bairro,CEP,CNES,CNPJ,CPF,Complemento,Data Expedição,Dependência,Gestão,Logradouro,Município,Nome,Nome Empresarial,Número,Número Alvará,Orgão Expedidor,Personalidade,Sub Tipo Estabelecimento,Telefone,Tipo Estabelecimento,UF,_id
606db7df171eb85a37ce465c,CENTRO,17509002,2053810,--,--,--,--,MANTIDA,MUNICIPAL,RUA XV DE NOVEMBRO,MARILIA - IBGE - 352900,BANCO DE LEITE HUMANO DE MARILIA,PREFEITURA MUNICIPAL DE MARILIA,731,--,--,JURÍDICA,OUTROS,(14)34238696,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7df171eb85a37ce465c
606db7df171eb85a37ce465d,CENTRO,17501090,7514328, 71834915000140,--,--,23/01/2015,INDIVIDUAL,MUNICIPAL,RUA BANDEIRANTES,MARILIA - IBGE - 352900,BEM ESTAR CLINICA DE FISIOTERAPIA,RENATO AUGUSTO DA SILVA MARILIA ME,94,352900501-865-000477-1-6,SMS,JURÍDICA,--,(14) 3316-0072,CONSULTORIO ISOLADO,SP,606db7df171eb85a37ce465d
606db7e0171eb85a37ce465e,JD MARIA IZABEL,17516032,5698820, 08540776000106,--,--,30/01/2008,INDIVIDUAL,MUNICIPAL,RUA DOS BANCARIOS,MARILIA - IBGE - 352900,BIOMED,BIOMED SERVICOS MEDICOS LTDA,286,35290050186300102903,SMS,JURÍDICA,--,14-34224856,CONSULTORIO ISOLADO,SP,606db7e0171eb85a37ce465e
606db7e1171eb85a37ce465f,ALTO CAFEZAL,17502000,0448524, 31189530000153,--,SALA 14,04/06/2020,INDIVIDUAL,MUNICIPAL,AV RIO BRANCO,MARILIA - IBGE - 352900,BLUMEI PSIQUIATRIA,BLUMEI PSIQUIATRIA LTDA,936,352900501-863-002625-1-0,SMS,JURÍDICA,--,(14) 3221-5671,CONSULTORIO ISOLADO,SP,606db7e1171eb85a37ce465f
606db7e2171eb85a37ce4660,ALTO CAFEZAL,17501110,5052149, 06012344000105,--,--,--,INDIVIDUAL,MUNICIPAL,RUA CEL JOSE BRAS,MARILIA - IBGE - 352900,CAD CENTRO DE ANESTESIOLOGIA E DOR,CAD CENTRO DE ANESTESIOLOGIA E DOR DE MARILIA S S LTDA,1230,352900501-851-000850-0-6,--,JURÍDICA,--,14-34136690,CONSULTORIO ISOLADO,SP,606db7e2171eb85a37ce4660
606db7e3171eb85a37ce4661,CENTRO,17500090,6402976, 08239437000194,--,--,12/11/2009,INDIVIDUAL,MUNICIPAL,AV RIO BRANCO,MARILIA - IBGE - 352900,CALIANI ODONTOLOGIA,CALIANI ODONTOLOGIA LTDA,481,352900501-863-000045-1-0,SMS,JURÍDICA,--,14-34546020,CONSULTORIO ISOLADO,SP,606db7e3171eb85a37ce4661
606db7e4171eb85a37ce4662,CASCATA,17515150,3896560,--,--,--,03/03/2006,MANTIDA,MUNICIPAL,RUA NOVE DE JULHO,MARILIA - IBGE - 352900,CAOIM CENTRO DE ATENDIMENTO A OBESIDADE INFANTIL MARILIA,PREFEITURA MUNICIPAL DE MARILIA,395,352900501-851-00150207,SMS,JURÍDICA,OUTROS,14-34224707,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7e4171eb85a37ce4662
606db7e5171eb85a37ce4663,SOMENZARI,17506040,2716844,--,--,--,14/09/2020,MANTIDA,ESTADUAL,AV SANTO ANTONIO,MARILIA - IBGE - 352900,CAPS AD DO HCFAMEMA,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE MARILIA,1669,352900590872000003-1-0,SES,JURÍDICA,CAPS ALCOOL E DROGA,(14)3433-8584,CENTRO DE ATENCAO PSICOSSOCIAL,SP,606db7e5171eb85a37ce4663
606db7e6171eb85a37ce4664,MARIA ISABEL,17515420,2716836,--,--,--,--,MANTIDA,MUNICIPAL,RUA MARQUES DE SAO VICENTE,MARILIA - IBGE - 352900,CAPS COM VIVER,PREFEITURA MUNICIPAL DE MARILIA,200,--,--,JURÍDICA,CAPS II,(14)34012055,CENTRO DE ATENCAO PSICOSSOCIAL,SP,606db7e6171eb85a37ce4664
606db7e7171eb85a37ce4665,PARQUE SAO JORGE,17520010,7034458,--,--,--,--,MANTIDA,MUNICIPAL,ALCIDES NUNES,MARILIA - IBGE - 352900,CAPS INFANTIL CATAVENTO,PREFEITURA MUNICIPAL DE MARILIA,1100,--,--,JURÍDICA,CAPS INFANTO/JUVENIL,14-34174712,CENTRO DE ATENCAO PSICOSSOCIAL,SP,606db7e7171eb85a37ce4665
606db7e8171eb85a37ce4666,ALTO CAFEZAL,17502020,3732681, 51520542000126,--,--,01/09/2015,INDIVIDUAL,MUNICIPAL,RUA SETE DE SETEMBRO,MARILIA - IBGE - 352900,CARF CENTRO ASSISTENCIAL DE REABILITACAO FISIOTERAPICA,CARF CENTRO ASSISTENCIAL DE REABILITACAO FISIOTERAPICA LTDA,1555,352900501-865-000095-1-2,SMS,JURÍDICA,CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER),--,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7e8171eb85a37ce4666
606db7e9171eb85a37ce4667,MARIA ISABEL,17516300,6479944, 29103554000104,--,--,26/01/2018,INDIVIDUAL,MUNICIPAL,RUA SPERENDIO CABRINI,MARILIA - IBGE - 352900,CAU CENTRO AVANCADO DE UROLOGIA,CAU CENTRO AVANCADO DE UROLOGIA DE MARILIA LTDA,131,352900501-863-002285-1-6,SMS,JURÍDICA,--,--,CONSULTORIO ISOLADO,SP,606db7e9171eb85a37ce4667
606db7ea171eb85a37ce4668,CASCATA,17515000,5142954, 06148015000188,--,--,02/08/2006,INDIVIDUAL,MUNICIPAL,AV VICENTE FERREIRA,MARILIA - IBGE - 352900,CCCM CENTRO DE CIRURGIA CARDIACA DE MARILIA,CCCM CENTRO DE CIRURGIA CARDIACA DE MARILIA S S LTDA,828,352900590-851-000088-1-8,SMS,JURÍDICA,--,14-34545888,CONSULTORIO ISOLADO,SP,606db7ea171eb85a37ce4668
606db7eb171eb85a37ce4669,CENTRO,17500010,7374445,--,--,--,10/10/2013,INDIVIDUAL,MUNICIPAL,RUA 4 DE ABRIL,MARILIA - IBGE - 352900,CCM CLINICA DE CARDIOLOGIA DE MARILIA,GIANCARLO DIEGO PANTAROTO PEREZ,139,35290050186300176214,SMS,FÍSICA,--,--,CONSULTORIO ISOLADO,SP,606db7eb171eb85a37ce4669
606db7ec171eb85a37ce466a,CENTRO,17500090,2028174, 49881154000129,--,--,18/12/2019,INDIVIDUAL,ESTADUAL,AVENIDA RIO BRANCO,MARILIA - IBGE - 352900,CDM MEDICINA NUCLEAR,UNIMEN UNIDADE MEDICINA NUCLEAR SC LTDA,160,352900501-864-000071-1-0,SMS,JURÍDICA,--,(14)34021200,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),SP,606db7ec171eb85a37ce466a
606db7ec171eb85a37ce466b,TANGARA,17516000,6527264,--,--,--,02/03/2010,MANTIDA,MUNICIPAL,AV DAS ESMERALDAS,MARILIA - IBGE - 352900,CEAMA DE MARILIA,INSTITUTO DE ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL,877,352900501-863-001142-1-9,SMS,JURÍDICA,--,14-34331020,CONSULTORIO ISOLADO,SP,606db7ec171eb85a37ce466b
606db7ed171eb85a37ce466c,PALMITAL,17510417,5233682,--,--,--,22/06/2018,INDIVIDUAL,MUNICIPAL,RUA ALVORADA,MARILIA - IBGE - 352900,CEME II,PAULO CELSO DOS SANTOS MOREIRA,77,35290050186300051713,SMS,FÍSICA,--,14-34335458,CONSULTORIO ISOLADO,SP,606db7ed171eb85a37ce466c
606db7ee171eb85a37ce466d,PALMITAL,17509001,6450156, 05705576000259,--,--,28/01/2010,INDIVIDUAL,MUNICIPAL,AV NELSON SPIELMANN,MARILIA - IBGE - 352900,CENPAC CENTRO DE PATOLOGIA CLINICA LTDA,CENPAC CENTRO DE PATOLOGIA CLINICA LTDA,411,352900501-812-000007-1-0,SMS,JURÍDICA,--,14-34542661,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),SP,606db7ee171eb85a37ce466d
606db7ef171eb85a37ce466e,FRAGATA C,17519254,6946976,--,--,--,--,MANTIDA,MUNICIPAL,AVENIDA ARCHIMEDES MANHAES,MARILIA - IBGE - 352900,CENTRAL DE REGULACAO DE MARILIA,PREFEITURA MUNICIPAL DE MARILIA,23,--,--,JURÍDICA,REGIONAL,14-34023380,CENTRAL DE REGULACAO MEDICA DAS URGENCIAS,SP,606db7ef171eb85a37ce466e
606db7f0171eb85a37ce466f,CENTRO,17504000,7173881,--,--,--,--,MANTIDA,ESTADUAL,RUA XV DE NOVEMBRO,MARILIA - IBGE - 352900,CENTRAL DE REGULACAO DRS IX MARILIA,SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO,1151,--,--,JURÍDICA,--,3402-8808,CENTRAL DE REGULACAO DO ACESSO,SP,606db7f0171eb85a37ce466f
606db7f1171eb85a37ce4670,CENTRO,17504000,0117714,--,--,--,--,MANTIDA,ESTADUAL,RUA XV DE NOVEMBRO,MARILIA - IBGE - 352900,CENTRAL REGIONAL CEADIM GVE XIX DRS 9 MARILIA,SECRETARIA DE ESTADO DA SAUDE,1151,--,--,JURÍDICA,--,--,CENTRAL DE ABASTECIMENTO,SP,606db7f1171eb85a37ce4670
606db7f2171eb85a37ce4671,JD MARIA ISABEL,17515270,5115760,--,--,--,25/09/2006,INDIVIDUAL,MUNICIPAL,RUA 21 DE ABRIL,MARILIA - IBGE - 352900,CENTRO DE ATENDIMENTO INTERDISCIPLINAR,MARIA RENATA ROCHA HENRIQUE LOPES,494,352900501-851-001670-0-2,SMS,FÍSICA,--,14-34139663,CONSULTORIO ISOLADO,SP,606db7f2171eb85a37ce4671
606db7f3171eb85a37ce4672,CASCATA,17515000,3732975, 57265191000130,--,1 ANDAR,21/01/2009,INDIVIDUAL,MUNICIPAL,AV VICENTE FERREIRA,MARILIA - IBGE - 352900,CENTRO DE DIAGNOSTICOS CARDIOVASCULAR,CENTRO DE DIAGNOSTICOS CARDIOVASCULAR S S LTDA,780,352900501-863-000672-1-0,SMS,JURÍDICA,OUTROS,14-34025250,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7f3171eb85a37ce4672
606db7f4171eb85a37ce4673,SALGADO FILHO,17502150,0614491, 66872888001302,--,--,14/02/2021,INDIVIDUAL,MUNICIPAL,COROAS,MARILIA - IBGE - 352900,CENTRO DE ESPECIALIDADES MEDICAS,UNIMED DE MARILIA COOPERATIVA DE TRABALHO MEDICO,114,352900501863002678,SMS,JURÍDICA,--,--,CONSULTORIO ISOLADO,SP,606db7f4171eb85a37ce4673
606db7f5171eb85a37ce4674,NOVA MARILIA,17522530,3922146,--,--,PRACA 29,11/05/2006,MANTIDA,MUNICIPAL,RUA ZEINA GADIA GRATAO,MARILIA - IBGE - 352900,CENTRO DE ESPECILIDADES ODONTOLOGICAS DE MARILIA CEO,PREFEITURA MUNICIPAL DE MARILIA,00,352900501-851-001576-0-0,SMS,JURÍDICA,CEO-II,14-34177179,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7f5171eb85a37ce4674
606db7f6171eb85a37ce4675,SALGADO FILHO,17502275,5673194,--,--,--,--,INDIVIDUAL,MUNICIPAL,RUA TUPA,MARILIA - IBGE - 352900,CENTRO DE FISIOTERAPIA,ELLEN LOPES SAES,272,--,--,FÍSICA,--,14-34321375,CONSULTORIO ISOLADO,SP,606db7f6171eb85a37ce4675
606db7f7171eb85a37ce4676,MARILIA,17509130,6450172, 05210329000109,--,SALAS 02,07/05/2018,INDIVIDUAL,MUNICIPAL,RUA RIO GRANDE DO SUL,MARILIA - IBGE - 352900,CENTRO DE FISIOTERAPIA ESPECIALIZADA,CENTRO DE FISIOTERAPIA ESPECIALIZADA LTDA,466,352900501-865000062-1-1,SMS,JURÍDICA,--,(14) 3221-1994,CONSULTORIO ISOLADO,SP,606db7f7171eb85a37ce4676
606db7f8171eb85a37ce4677,FRAGATA,17519110,7879210, 46374500025693,--,--,18/08/2020,MANTIDA,ESTADUAL,AV NELSON SEVERIO ZAMBON,MARILIA - IBGE - 352900,CENTRO DE MEDICINA E REAB LUCY MONTORO MARILIA,SECRETARIA DE ESTADO DA SAUDE,175,3529590-863-000042-1-9,SES,JURÍDICA,OUTROS,14-34021700,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7f8171eb85a37ce4677
606db7f9171eb85a37ce4678,SALGADO FILHO,17500090,5995302, 08210680000180,--,--,25/05/2008,INDIVIDUAL,MUNICIPAL,AV RIO BRANCO,MARILIA - IBGE - 352900,CENTRO DE ORTODONTIA TERUEL E TERUEL,CENTRO DE ORTODONTIA TERUEL E TERUEL LTDA,250,352900501-863-000196-1-5,SMS,JURÍDICA,--,14-34332422,CONSULTORIO ISOLADO,SP,606db7f9171eb85a37ce4678
606db7fa171eb85a37ce4679,MARIA IZABEL,17515300,3861155, 59991828000100,--,--,02/06/2005,INDIVIDUAL,MUNICIPAL,AV CASCATA,MARILIA - IBGE - 352900,CENTRO DE REABILITACAO ADAPTACAO DE MEMBROS DE MARILIA,CENTRO DE REABILITACAO ADAPTACAO DE MEMBROS DE MARILIA LTDA,13,35290050185100043011,SMS,JURÍDICA,--,14-34136900,CONSULTORIO ISOLADO,SP,606db7fa171eb85a37ce4679
606db7fb171eb85a37ce467a,CENTRO,17509053,3856208,--,--,--,16/02/2006,MANTIDA,MUNICIPAL,RUA SERGIPE,MARILIA - IBGE - 352900,CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR CEREST,PREFEITURA MUNICIPAL DE MARILIA,895,352900501-851-001488-0-6,SMS,JURÍDICA,CENTRO DE REFERÊNCIA EM SAÚDE DO TRABALHADOR CEREST,34134975,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7fb171eb85a37ce467a
606db7fb171eb85a37ce467b,PADRE NOBREGA,17500090,2824221,--,--,--,06/04/2004,MANTIDA,MUNICIPAL,ROD JOAO RIBEIRO DE BARROS,MARILIA - IBGE - 352900,CENTRO DE RESSOCIALIZACAO DE MARILIA APAC,SECRETARIA DE ESTADO DA ADMINISTRACAO PENITENCIARIA,0,352900501-851-000894-0-0,SMS,JURÍDICA,--,14-34153888,CONSULTORIO ISOLADO,SP,606db7fb171eb85a37ce467b
606db7fc171eb85a37ce467c,SALGADO FILHO,17502278,5698863,--,--,SALA 2,13/12/2014,INDIVIDUAL,MUNICIPAL,RUA DR LUIZ HLARIO GARCIA,MARILIA - IBGE - 352900,CENTRO DE TERAPIAS ESPECIALIZADAS,SUELY DE FATIMA MODESTO,132,35290050186500015717,SMS,FÍSICA,--,(14) 3413-8164,CONSULTORIO ISOLADO,SP,606db7fc171eb85a37ce467c
606db7fd171eb85a37ce467d,JARDIM MARIA IZABEL,17515260,9031065, 24109486000169,--,UNIDADE III,24/02/2017,INDIVIDUAL,MUNICIPAL,RUA THOMAZ GONZAGA,MARILIA - IBGE - 352900,CENTRO DE VACINACAO IMUNNE,ANA JULIA ESTEVES DE ANDRADE CONSERVANI,185,352900501-863-001582-18,SMS,JURÍDICA,--,(14) 3316-7010,CONSULTORIO ISOLADO,SP,606db7fd171eb85a37ce467d
606db7fe171eb85a37ce467e,JD JULIETA,17515160,7667183,--,--,--,--,MANTIDA,MUNICIPAL,RUA YUSSABURO SASAZAK,MARILIA - IBGE - 352900,CENTRO DE VIGILANCIA AMBIENTAL DE MARILIA,MUNICIPIO DE MARILIA,360,--,--,JURÍDICA,UNIDADE DE VIGILANCIA DE ZOONOSES,14-34256708,UNIDADE DE VIGILANCIA EM SAUDE,SP,606db7fe171eb85a37ce467e
606db7ff171eb85a37ce467f,BARBOSA,17501450,3816494,--,--,--,28/12/2005,INDIVIDUAL,MUNICIPAL,RUA QUINZE DE NOVEMBRO,MARILIA - IBGE - 352900,CENTRO DERMATOLOGICO INTEGRADO,GISELE IARA BUENO MAGALHAES,219,352900501-851-001056-1-9,SMS,FÍSICA,--,14-34225614,CONSULTORIO ISOLADO,SP,606db7ff171eb85a37ce467f
606db800171eb85a37ce4680,CENTRO,17501110,2046857, 51508661000163,--,--,13/02/2014,INDIVIDUAL,MUNICIPAL,RUA MARECHAL DEODORO,MARILIA - IBGE - 352900,CENTRO MEDICO DIAGNOSTICO CMD,CENTRO MEDICO DIAGNOSTICO DE MARILIA LTDA,38,3529005018640000410,SES,JURÍDICA,--,(14)34023030,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),SP,606db800171eb85a37ce4680
606db801171eb85a37ce4681,BARBOSA,17501450,7197357, 15272921000180,--,--,27/11/2012,INDIVIDUAL,MUNICIPAL,RUA 15 DE NOVEMBRO,MARILIA - IBGE - 352900,CENTRO ODONTOLOGICO MEDICO MARTINEZ,CENTRO ODONTOLOGICO E MEDICO MARTINEZ E VARCON LTDA,121,352900501-863-001659-1-3,SMS,JURÍDICA,--,(14) 3306-0043,CONSULTORIO ISOLADO,SP,606db801171eb85a37ce4681
606db802171eb85a37ce4682,CENTRO,17500001,6024254,--,--,SALA 2,03/10/2008,INDIVIDUAL,MUNICIPAL,RUA SAO LUIZ,MARILIA - IBGE - 352900,CENTRO ODONTOLOGICO SAO LUIS 2,KATIANE MARQUES FARIA,754,352900500-851-00047317,SMS,FÍSICA,--,--,CONSULTORIO ISOLADO,SP,606db802171eb85a37ce4682
606db803171eb85a37ce4683,JD SALGADO FILHO,17502170,7607326, 07383294000208,--,--,16/10/2017,INDIVIDUAL,MUNICIPAL,R CESAR MARTINS PIRAJA,MARILIA - IBGE - 352900,CENTRO OFTALMOLOGICO CIRURGICO,SILVA DE ALMEIDA SERVICOS MEDICOS LTDA,15,352900501863002261114,SMS,JURÍDICA,--,14-33674050,CONSULTORIO ISOLADO,SP,606db803171eb85a37ce4683
606db804171eb85a37ce4684,FRAGATA,17501100,3732657, 66494626000100,--,--,01/01/2020,INDIVIDUAL,MUNICIPAL,RUA ALVARES CABRAL,MARILIA - IBGE - 352900,CENTROCOR CLINICA DO CORACAO,CENTROCOR CLINICA DO CORACAO LTDA,278,352900501-851-000364-1-4,SMS,JURÍDICA,--,14-34139944,CENTRAL DE ABASTECIMENTO,SP,606db804171eb85a37ce4684
606db805171eb85a37ce4685,CASCATA,17515150,7282982, 09207627000192,--,--,16/06/2013,INDIVIDUAL,MUNICIPAL,AV VICENTE FERREIRA,MARILIA - IBGE - 352900,CEPAN,CENTRO ENDOSCOPICO PROF AKIRA NAKADAIRA LTDA,828,352900501-864-000084-1-9,SMS,JURÍDICA,--,14-34025555,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),SP,606db805171eb85a37ce4685
606db806171eb85a37ce4686,SEN SALGADO FILHO,17502000,3896544,--,--,--,18/05/2005,INDIVIDUAL,MUNICIPAL,AV IDA ARTENCIO MUZZI,MARILIA - IBGE - 352900,CIBELE MORAES DE BAPTISTA BRANDAO,CONSULTORIO DRA CIBELE MORAES BRANDAO,410,352900501-851-00797-1-5,SMS,FÍSICA,--,14-34332109,CONSULTORIO ISOLADO,SP,606db806171eb85a37ce4686
606db807171eb85a37ce4687,BOA VISTA,17501560,6167365, 24314789000113,--,--,03/06/2016,INDIVIDUAL,MUNICIPAL,RUA SETE DE SETEMBRO,MARILIA - IBGE - 352900,CIITA,CIITA CENTRO DE INVESTIGACAO E INTERVENCAO DOS TRANSTORNOS,164,352900501-865-000573-1-2,SMS,JURÍDICA,--,(14) 3413-14854,CONSULTORIO ISOLADO,SP,606db807171eb85a37ce4687
